derived_filename,source_filename,source_hash,operation,timestamp_created,operator
Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_audio.wav,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,ffmpeg_wav_16k_mono,2026-08-13T15:34:26Z,ib-mac
Axon_Body_4_Video_2026-04-30_0211_D01AQ223T_audio.wav,Axon_Body_4_Video_2026-04-30_0211_D01AQ223T.mp4,a292d9b8f685d3b102117dfc189421d952fd187465bada4d80185eeec3b7fd47,ffmpeg_wav_16k_mono,2026-08-13T15:34:49Z,ib-mac
Axon_Body_4_Video_2026-04-30_0312_D01AQ223T_audio.wav,Axon_Body_4_Video_2026-04-30_0312_D01AQ223T.mp4,18ee76e040e35b23e01c71d15540ad9bd6439f65d204aa56e634e330b068edea,ffmpeg_wav_16k_mono,2026-08-13T15:35:03Z,ib-mac
Axon_Body_4_Video_2026-04-30_0426_D01AQ340U_audio.wav,Axon_Body_4_Video_2026-04-30_0426_D01AQ340U.mp4,2cde319228a87f964f7067b79f671113234482819f98ec890793fa70aa028d79,ffmpeg_wav_16k_mono,2026-08-13T15:35:23Z,ib-mac
Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.json,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,harvest_mlx_stdout_priority_window,2026-08-13T16:46:42Z,ib-mac
Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.txt,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,harvest_mlx_stdout_priority_window,2026-08-13T16:46:42Z,ib-mac
Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.tsv,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,harvest_mlx_stdout_priority_window,2026-08-13T16:46:42Z,ib-mac
T00-00-36_opening_radio_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:46:42Z,ib-mac
T00-00-36_opening_radio_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-01-22_opening_contact_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
